Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz E-Class 2019;New E 200 АТ (184 л.с.);51 100 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670042.html;Бензин
Mercedes-Benz C-Class 2019;base 300 G-Tronic (258 л.с.);40 930 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669808.html;Бензин
Mercedes-Benz C-Class 2019;base 180 G-Tronic (156 л.с.);34 987 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1718624.html;Бензин
Mercedes-Benz E-Class 2019;New E 220d (194 л.с.) 4Matic;47 907 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670011.html;Дизтопливо
Mercedes-Benz E-Class 2020;New E 220d AT (194 л.с.);70 376 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1832776.html;Дизтопливо
Mercedes-Benz AMG GT 2019;base Mercedes-AMG GT4 63 AT (585 л.с.) 4Matic+;172 178 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1811383.html;Бензин
Mercedes-Benz GLC-Class 2019;base 300d AT (245 л.с.) 4Matic;57 871 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1830583.html;Дизтопливо
Mercedes-Benz E-Class 2019;AMG E 53 G-tronic (435 л.с.) 4Matic+;83 443 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1711373.html;Бензин
Mercedes-Benz S-Class 2019;AMG S 63 AT (612 л.с.) 4Matic+;200 160 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1670123.html;Бензин
Mercedes-Benz Maybach 2020;S 650 AT (630 л.с.);324 962 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1819858.html;Бензин
Mercedes-Benz GLC-Class 2019;base 200d AT (163 л.с.) 4Matic;47 276 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1761007.html;Дизтопливо
Mercedes-Benz S-Class 2019;S 350d AT (286 л.с.) Long;88 379 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1693538.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;45s AMG AT (421 л.с.) 4Matic+;65 885 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1830561.html;Бензин
Mercedes-Benz GLC-Class 2019;300de AT (306 л.с.) 4Matic;66 526 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1838093.html;Дизтопливо/Электричество
Mercedes-Benz AMG GT 2019;base Mercedes-AMG GT AT (476 л.с.);152 723 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1760971.html;Бензин
Mercedes-Benz S-Class 2019;S 450 G-Tronic (367 л.с.) 4Matic;165 000 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1793046.html;Бензин
Mercedes-Benz CLA-Class 2019;base 35 AMG AT (306 л.с.) 4Matic;51 613 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1807134.html;Бензин
Mercedes-Benz GLB-Class 2020;180 AT (136 л.с.);35 590 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glb-class-1838078.html;Бензин
Mercedes-Benz S-Class 2019;S 560 G-Tronic (469 л.с.);159 159 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1611192.html;Бензин
Mercedes-Benz C-Class 2019;300de G-Tronic (194 л.с.);45 460 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1821758.html;Дизтопливо/Электричество
Mercedes-Benz CLA-Class 2019;base 220 AT (190 л.с.) 4Matic;40 290 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1549691.html;Бензин
Mercedes-Benz A-Class 2019;base 160 MT (109 л.с.);30 456 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1787000.html;Бензин
Mercedes-Benz C-Class 2019;base C 200 AT (184 л.с.) 4Matic;39 175 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1711367.html;Бензин
Mercedes-Benz CLA-Class 2019;base 220 AT (190 л.с.);38 133 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1549690.html;Бензин
