Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz A-Class 2019;base 250 AT (224 л.с.) 4Matic;43 889 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1787011.html;Бензин
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63s TCT (510 л.с.);91 835 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669862.html;Бензин
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63 AT (476 л.с.);78 071 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669818.html;Бензин
Mercedes-Benz C-Class 2019;base C 200 AT (184 л.с.);37 158 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1611669.html;Бензин
Mercedes-Benz CLA-Class 2019;base 250 AT (224 л.с.);41 178 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1669949.html;Бензин
Mercedes-Benz CLS-Class 2019;400d G-Tronic (340 л.с.) 4Matic;79 827 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1760651.html;Дизтопливо
Mercedes-Benz A-Class 2019;200 MT (163 л.с.);34 683 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1785494.html;Бензин
Mercedes-Benz Maybach 2020;GLS 600 AT (558 л.с.) 4Matic;324 950 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1820196.html;Бензин
Mercedes-Benz C-Class 2019;base C 200 AT (184 л.с.);37 158 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669878.html;Бензин
Mercedes-Benz AMG GT 2019;GT C AT (557 л.с.);174 618 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1670143.html;Бензин
Mercedes-Benz CLA-Class 2019;base 200 MТ (163 л.с.);34 612 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1549689.html;Бензин
Mercedes-Benz A-Class 2019;250 AT (224 л.с.) 4Matic;43 881 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1787012.html;Бензин
Mercedes-Benz C-Class 2019;base 400 G-Tronic (333 л.с.) 4Matic;55 375 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669838.html;Бензин
Mercedes-Benz G-Class 2020;700 Brabus G-Ttonic (700 л.с.) 4Matic;346 613 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1822688.html;Бензин
Mercedes-Benz E-Class 2019;base 200 AT (197 л.с.) 4Matic;46 708 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1826337.html;Бензин
Mercedes-Benz GLB-Class 2020;220d AT (190 л.с.) 4Matic;57 407 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-glb-class-1836085.html;Дизтопливо
Mercedes-Benz S-Class 2019;S 400d AT (340 л.с.) 4Matic Long;96 261 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1761030.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;base 200d АТ (150 л.с.);38 809 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1807132.html;Дизтопливо
Mercedes-Benz GLC-Class 2019;300de AT (306 л.с.) 4Matic;57 411 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1838092.html;Дизтопливо/Электричество
Mercedes-Benz GLC-Class 2019;base 300d AT (245 л.с.) 4Matic;51 745 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1611133.html;Дизтопливо
Mercedes-Benz E-Class 2019;New E 400d AT (340 л.с.) 4Matic;58 558 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1648455.html;Дизтопливо
Mercedes-Benz GLC-Class 2019;base 220d AT (194 л.с.);46 948 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1761010.html;Дизтопливо
Mercedes-Benz E-Class 2019;New E 450 G-tronic (367 л.с.) 4Matic;59 378 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1674287.html;Бензин
Mercedes-Benz G-Class 2020;400d AT (340 л.с.) 4Matic;126 534 $;Одесса;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1798803.html;Дизтопливо
Mercedes-Benz AMG GT 2019;Mercedes-AMG GT4 43 AT (367 л.с.) 4Matic+;133 230 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1811202.html;Бензин
Mercedes-Benz GLE-Class 2019;Individual 300d AT (245 л.с.) 4Matic;68 218 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1836711.html;Дизтопливо
Mercedes-Benz AMG GT 2019;base Mercedes-AMG GT C AT (557 л.с.);189 216 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804012.html;Бензин
Mercedes-Benz AMG GT 2019;GT C AT (476 л.с.);176 675 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1804008.html;Бензин
Mercedes-Benz CLS-Class 2019;AMG CLS 53 G-Tronic (435 л.с.) 4Matic+;94 475 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1803977.html;Бензин
Mercedes-Benz S-Class 2019;Mercedes-AMG S 63 AT (612 л.с.) 4Matic Long;155 787 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1803999.html;Бензин
Mercedes-Benz E-Class 2019;New Mercedes-AMG E 63 (571 л.с.) 4Matic+;97 304 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1803971.html;Бензин
Mercedes-Benz E-Class 2019;Mercedes-AMG E 63S (612 л.с.) 4Matic+;126 872 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1803990.html;Бензин
Mercedes-Benz GLE-Class 2019;Mercedes-AMG GLE Coupe 63 S AT (585 л.с.) 4Matic;127 346 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1803995.html;Бензин
Mercedes-Benz E-Class 2019;New Mercedes-AMG E 63S (612 л.с.) 4Matic+;107 940 $;Житомир;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1803972.html;Бензин
